vehicle_type,vehicle_manoeuvre,junction_location,skidding_and_overturning,hit_object_in_carriageway,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_of_vehicle,driver_home_area_type,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity
Car,Waiting to go ,Mid Junction ,Skidded,Other object,Other,Male,36,3,Urban area,Driver or rider,Female,41,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,26,7,unknown,Driver or rider,Male,26,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,20,11,Urban area,Driver or rider,Female,20,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,49,3,Urban area,Passenger,Female,24,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,30,18,unknown,Driver or rider,Male,31,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Male,36,13,Rural,Driver or rider,Male,36,survived
Car,Reversing,Leaving main road,Skidded,Kerb,Other,Male,38,7,Urban area,Pedestrian,Female,49,Died
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,54,7,Urban area,Driver or rider,Female,19,survived
Car,Going ahead other,Mid Junction ,Overturned,Other object,from work,Male,59,2,Urban area,Driver or rider,Male,23,survived
Van ,U-turn,Leaving main road,Skidded,Other object,Other,Male,38,1,unknown,Pedestrian,Male,21,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Male,23,4,Urban area,Passenger,Female,22,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,36,11,Urban area,Driver or rider,Male,36,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Driver or rider,Male,32,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,40,7,Urban area,Passenger,Male,12,Died
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Male,36,7,Urban area,Driver or rider,Male,36,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Female,52,7,Urban area,Pedestrian,Female,90,survived
Motorcycle ,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,7,unknown,Pedestrian,Female,18,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,37,3,Urban area,Passenger,Female,25,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Male,21,9,Urban area,Passenger,Male,35,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Female,26,13,Rural,Driver or rider,Female,26,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Female,64,5,Rural,Passenger,Female,35,survived
Van ,Turning right,Cleared junction or waiting,Skidded,Other object,Journey as part of work,Male,24,10,Urban area,Driver or rider,Male,18,survived
Car,Going ahead other,Leaving main road,Skidded,Kerb,Other,Male,25,12,Urban area,Passenger,Female,64,survived
Van ,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,54,6,Urban area,Driver or rider,Male,33,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Female,38,1,unknown,Driver or rider,Male,36,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,38,7,unknown,Driver or rider,Female,51,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,28,4,Urban area,Driver or rider,Male,28,survived
Motorcycle ,Going ahead other,Leaving main road,Skidded,Kerb,Other,Male,24,1,Urban area,Driver or rider,Male,24,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,26,4,Urban area,Passenger,Female,79,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,35,9,Urban area,Passenger,Female,24,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Female,28,7,Urban area,Driver or rider,Female,28,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,38,4,Urban area,Driver or rider,Female,38,survived
Goods ,Turning right,Leaving main road,Skidded,Other object,Journey as part of work,Male,36,7,unknown,Driver or rider,Female,36,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,71,3,Urban area,Driver or rider,Male,71,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,29,4,Urban area,Driver or rider,Male,29,survived
Pedal cycle,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,86,7,Small town,Driver or rider,Male,86,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,21,7,Urban area,Driver or rider,Male,46,survived
Car,Going ahead other,Leaving main road,Skidded,Parked vehicle,Other,Male,44,12,Urban area,Driver or rider,Male,30,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Journey as part of work,Male,38,7,Urban area,Driver or rider,Male,23,survived
Van ,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,31,7,Small town,Driver or rider,Male,31,survived
Car,Turning right,Mid Junction ,Skidded,Other object,from work,Male,48,6,Urban area,Driver or rider,Male,33,survived
Van ,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,36,9,Small town,Driver or rider,Female,25,survived
Car,Turning right,Mid Junction ,Skidded,Other object,Other,Male,37,4,Urban area,Driver or rider,Male,24,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Other,Male,23,6,Urban area,Driver or rider,Male,40,survived
Car,Going ahead other,Leaving main road,Skidded,Any animal,Other,Male,57,2,Rural,Driver or rider,Male,57,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,53,7,Urban area,Driver or rider,Female,53,survived
Car,Turning left,Leaving main road,Skidded,Other object,Journey as part of work,Female,53,11,Urban area,Driver or rider,Female,53,Died
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,38,13,Urban area,Passenger,Female,41,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,36,4,Rural,Driver or rider,Male,36,survived
Goods ,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,38,4,Urban area,Driver or rider,Male,38,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,20,7,unknown,Driver or rider,Male,17,Died
Car,Waiting to go ,Approaching junction or waiting,Skidded,Other object,Other,Female,29,2,Urban area,Driver or rider,Female,29,survived
Car,Going ahead other,Leaving main road,Skidded ,Other object,Other,Male,28,2,Urban area,Driver or rider,Male,28,survived
Car,Going ahead other,Leaving main road,Skidded ,Other object,Other,Male,26,3,Urban area,Driver or rider,Male,26,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,36,5,Urban area,Passenger,Female,25,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,from work,Male,25,12,Rural,Driver or rider,Female,46,survived
Car,Turning left,Approaching junction or waiting,Skidded,Other object,Other,Female,25,8,Small town,Driver or rider,Female,25,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,58,7,Urban area,Driver or rider,Female,57,survived
Bus,Going ahead other,Mid Junction ,Skidded,Other object,Journey as part of work,Male,64,11,Urban area,Driver or rider,Male,64,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,18,15,Urban area,Driver or rider,Male,18,survived
Car,Reversing,Mid Junction ,Skidded,Other object,from work,Female,36,10,Urban area,Pedestrian,Female,76,survived
Car,Parked,Cleared junction or waiting,Skidded,Other object,from work,Female,38,7,Small town,Passenger,Male,21,survived
Car,Going ahead other,Cleared junction or waiting,Skidded,Other object,Journey as part of work,Male,55,7,Urban area,Driver or rider,Male,34,Died
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Female,77,4,Urban area,Driver or rider,Male,23,survived
Motorcycle ,Going ahead other,Mid Junction ,Skidded,Other object,from work,Male,21,3,Small town,Driver or rider,Male,21,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,57,7,unknown,Driver or rider,Male,35,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,27,4,Urban area,Passenger,Female,19,survived
Car,Turning left,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Male,24,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,24,10,Rural,Driver or rider,Female,56,survived
Car,Moving off,Leaving roundabout,Skidded,Other object,Other,Male,30,7,Urban area,Passenger,Female,26,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,60,7,unknown,Driver or rider,Male,44,survived
Car,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Female,22,4,Urban area,Driver or rider,Female,22,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,23,3,Urban area,Passenger,Female,24,survived
Car,Reversing,Leaving main road,Skidded,Other object,Other,Male,52,7,Rural,Driver or rider,Male,52,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,34,14,Urban area,Driver or rider,Female,34,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,67,7,unknown,Driver or rider,Male,51,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Journey as part of work,Male,28,3,unknown,Driver or rider,Male,28,Died
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,18,7,Rural,Driver or rider,Female,43,survived
Car,Waiting to turn left,Leaving main road,Skidded,Other object,Other,Male,41,4,Urban area,Driver or rider,Male,27,survived
Pedal cycle,Moving off,Approaching junction or waiting,Skidded,Other object,Other,Male,41,7,Urban area,Driver or rider,Male,41,survived
Car,Turning left,Leaving main road,Skidded,Other object,Journey as part of work,Male,20,10,Rural,Driver or rider,Male,20,survived
Pedal cycle,Turning left,Leaving main road,Skidded,Other object,Other,Male,29,7,Urban area,Driver or rider,Male,29,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,Other,Female,32,1,Urban area,Driver or rider,Female,32,survived
Goods ,Reversing,Leaving main road,Skidded,Other object,Other,Male,48,7,Urban area,Driver or rider,Male,38,survived
Goods ,Moving off,Leaving main road,Skidded,Other object,Journey as part of work,Male,42,1,Rural,Driver or rider,Female,26,survived
Car,Going ahead other,Mid Junction ,Skidded,Other object,Other,Male,49,2,unknown,Driver or rider,Female,31,survived
Car,Slowing or stopping,Leaving main road,Skidded,Other object,from work,Female,54,7,Urban area,Driver or rider,Female,54,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,38,6,Urban area,Passenger,Female,35,survived
Goods ,Slowing or stopping,Leaving main road,Skidded,Other object,Journey as part of work,Male,35,7,unknown,Passenger,Female,27,survived
Car,Turning right,Approaching junction or waiting,Skidded,Other object,Other,Male,40,7,Urban area,Passenger,Male,29,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Male,46,11,Urban area,Pedestrian,Male,21,Died
Motorcycle ,Turning left,Leaving main road,Skidded,Other object,from work,Female,20,1,Urban area,Driver or rider,Female,20,survived
Car,Waiting to go ,Leaving main road,Skidded,Other object,Other,Female,45,3,Urban area,Passenger,Female,8,survived
Car,Going ahead other,Approaching junction or waiting,Skidded,Other object,Other,Female,34,5,Urban area,Driver or rider,Female,28,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Female,36,10,Urban area,Driver or rider,Male,41,survived
Car,Reversing,Leaving main road,Skidded,Other object,Journey as part of work,Male,49,7,Urban area,Driver or rider,Male,49,survived
Car,Reversing,Leaving main road,Skidded,Kerb,Other,Male,59,7,Small town,Driver or rider,Male,59,survived
Car,Going ahead other,Leaving main road,Skidded,Other object,Other,Male,38,7,unknown,Passenger,Female,15,survived
Car,Slowing or stopping,Approaching junction or waiting,Skidded,Other object,Other,Male,22,4,Urban area,Driver or rider,Male,35,survived
Car,Turning right,Leaving main road,Skidded,Other object,Other,Female,49,10,Urban area,Pedestrian,Male,49,survived
